CreditScore,CreditScore_Normalized,CreditScore_Category_churn,Balance,NumOfProducts,HasCrCard,Exited,Credit_Score,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,income,loan_type_type1,loan_type_type2,loan_type_type3,open_credit,loan_limit,Status,CreditScore_Category_loan
475,0.25,Poor,134264.04,1,1,1,600,686500,3.875,0.0941,593.28,22860.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,426500,3.875,0.1775,3084.6681261472286,5760.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,466500,3.99,-0.2242,5812.0,5640.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,616500,3.75,0.0681,1766.56,14100.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,486500,3.375,-0.2738,1825.6,10200.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,576500,3.625,0.169,8620.5,15600.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,126500,3.99,0.9674,2422.5,2700.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,96500,4.055370861762538,0.5011582175573173,3154.265424277618,3000.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,286500,3.625,0.1019,5545.18,3840.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,436500,4.048585425228462,0.4764814594842739,3167.9836387918454,4800.0,False,True,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,66500,4.5,0.7521,2318.6,2400.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,296500,3.375,0.1652,0.0,16020.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,406500,4.625,1.3188,1039.92,7680.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,306500,3.125,0.4939,8415.0,6360.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,316500,4.375,0.7563,7480.0,6540.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,76500,4.047228337921648,0.47154610786966566,3170.7272816946906,5160.0,False,True,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,236500,3.625,0.055,2864.2,5160.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,226500,4.625,1.3339,1250.0,4860.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,606500,4.375,0.5397,701.8,12000.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,406500,3.625,-0.1404,0.0,11760.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,466500,3.375,-0.2967,0.0,6240.0,False,False,True,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,286500,4.18,-0.1408,256.7,4260.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,216500,4.375,0.8886,2752.96,3120.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,236500,4.99,0.7651,4370.0,4560.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,216500,3.5,-0.114,3228.58,3840.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,216500,4.053109049584513,0.4929326315329692,3158.8381624490266,3600.0,False,True,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,306500,3.875,-0.2139,5725.0,7320.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,476500,3.75,-0.0135,0.0,10200.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,306500,3.0,-0.1511,267.0,7020.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,256500,3.875,0.4311,3125.01,4020.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,366500,4.125,-0.1001,0.0,3480.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,506500,4.75,0.279,550.0,20760.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,76500,4.5,1.0251,2686.0,1980.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,316500,4.054918499326933,0.499513100352448,3155.1799719118994,3120.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,206500,4.25,0.1064,6310.0,6000.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,316500,4.04835924401066,0.47565890088183993,3168.4409126089868,4860.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,336500,4.046549794268239,0.4690784320623611,3172.0991031461144,5340.0,False,False,True,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,466500,3.99,0.8307,3720.0,20340.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,286500,4.0490377876640675,0.4781265766891436,3167.0690911575634,4680.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,366500,3.625,-0.0012,1551.82,7800.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,216500,4.75,0.8817,66.22,4020.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,436500,3.75,0.1844,10287.5,9480.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,156500,4.056501767851551,0.5052710105694915,3151.9790551919123,2700.0,False,False,True,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,206500,4.375,0.2642,2548.16,3060.0,True,False,False,0,0.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,406500,3.75,-0.1023,1295.0,8400.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,226500,2.875,-0.7852,1964.48,9494.351698548508,False,False,True,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,176500,4.049716331317475,0.4805942524964477,3165.6972697061406,4500.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,126500,3.99,0.5289,3942.97,4920.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,216500,3.99,0.6621,6143.75,4680.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,216500,3.99,0.963,2315.0,6540.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,246500,4.030038565368655,0.4090316540846226,3205.480091797402,9720.0,False,True,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,336500,3.875,0.8772,2096.25,3960.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,226500,3.5,0.3158,583.52,5700.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,156500,3.625,0.1247,4848.68,2220.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,186500,4.5,1.6845,1785.0,3660.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,346500,4.0,0.0216,650.21,15000.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,326500,3.875,0.6915,4069.25,16560.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,536500,4.75,0.82,1940.0,7620.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,396500,4.5,0.4162,0.0,10200.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,146500,3.5,0.7023,4612.0,3600.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,196500,3.99,0.6081,6217.5,2880.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,236500,3.99,0.9085,2415.0,5820.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,586500,3.625,-0.4933,0.0,12898.869787258394,False,False,True,0,0.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,346500,4.0,0.6936,1274.49,5040.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,436500,3.25,0.1358,2199.32,9060.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,346500,4.5,0.3427,0.0,5280.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,136500,4.875,1.1083,500.0,2340.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,546500,4.125,0.1468,0.0,14100.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,726500,3.75,0.1287,12147.88,14880.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,236500,3.625,0.0138,4791.31,6120.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,306500,4.125,0.8708,5704.01,8280.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,436500,3.375,-0.2944,0.0,6780.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,106500,4.058085036376168,0.5110289207865346,3148.7781384719265,2280.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,136500,4.5,0.3874,4150.0,3060.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,266500,4.0,0.2539,0.0,5280.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,126500,4.027324390755025,0.39916095085540526,3210.967377603093,10440.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,246500,4.035693095813718,0.4295956191454917,3194.0482463688786,8220.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,206500,3.625,0.4247,6726.76,2640.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,646500,4.625,0.4226,0.0,10260.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,276500,4.18,-0.0329,4862.5,2820.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,116500,5.25,1.5706,1404.9,2760.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,146500,3.75,0.8891,3470.0,2940.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,166500,4.125,0.687,1096.53,7200.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,376500,4.375,0.8502,3398.67,7920.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,386500,4.02958620293305,0.40738653687975335,3206.3946394316845,9840.0,False,False,True,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,426500,3.875,0.4849,4960.0,7260.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,556500,3.99,0.1515,3085.17,19500.0,False,False,True,0,0.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,536500,4.625,1.3004,3117.66,8100.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,116500,4.05288286836671,0.49211007293053477,3159.295436266167,3660.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,406500,3.875,0.1898,5316.0,5520.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,676500,3.5,-0.0796,3223.77,9060.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,346500,4.125,0.232,3736.5,4440.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,176500,3.99,-0.3746,1750.0,9562.856288138792,False,False,True,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,226500,4.99,0.8363,397.97,4260.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,336500,3.99,0.0461,5241.6,18900.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,576500,4.0429308947833995,0.45591749442340523,3179.415484220369,6300.0,False,False,True,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,456500,3.99,0.2487,5825.0,5340.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,306500,4.038407270427348,0.43946632237470906,3188.5609605631876,7500.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,436500,3.75,0.1475,0.0,7380.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,356500,4.125,0.667,5440.48,5040.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,536500,4.040216720169769,0.44604679119418744,3184.9027700260594,7020.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,276500,4.75,0.8586,1718.75,6420.0,True,False,False,0,0.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,486500,3.5,-0.2651,0.0,14880.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,276500,4.625,1.6931,765.71,4080.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,126500,3.99,1.326,2659.41,2580.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,176500,4.054918499326933,0.499513100352448,3155.1799719118994,3120.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,176500,3.875,0.4271,5077.25,3000.0,False,False,True,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,386500,3.5,-0.248,2700.0,6420.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,276500,4.042478532347794,0.45427237721853553,3180.3300318546508,6420.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,146500,3.99,0.6646,4515.0,3540.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,206500,4.56,0.5298,3150.0,4980.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,306500,4.875,1.3167,9688.66,3480.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,236500,3.375,0.0911,6879.94,10440.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,416500,4.022574585181172,0.3818872202042751,3220.5701277630533,11700.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,266500,4.56,0.4476,1198.97,3360.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,556500,4.031169471457668,0.41314444709679643,3203.1937227116973,9420.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,386500,3.75,0.4707,1819.41,4560.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,496500,3.99,0.309,0.0,8460.0,False,False,True,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,466500,4.25,-0.338,6900.0,7800.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,126500,3.5,0.9431,3361.9,1380.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,356500,2.99,0.2834,12265.63,7680.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,466500,3.25,-0.244,14086.98,8700.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,176500,3.625,0.9523,0.0,4015.2638903846846,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,226500,4.5,0.1329,1000.27,3360.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,146500,4.05608261880555,0.48517632900592433,3191.0982262507673,4080.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,276500,3.5,0.2977,9180.0,5940.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,336500,3.5,-0.1484,4581.0,7020.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,296500,4.054918499326933,0.499513100352448,3155.1799719118994,3120.0,False,False,True,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,426500,4.125,0.3868,1250.0,9000.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,326500,3.125,-0.1096,0.0,9780.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,256500,4.053561412020117,0.49457774873783844,3157.9236148147456,3480.0,False,False,True,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,186500,3.99,0.2125,3737.71,3540.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,146500,4.059442123682984,0.5159642724011428,3146.0344955690803,1920.0,False,True,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,226500,4.05831121759397,0.5118514793889686,3148.320864654785,2220.0,False,False,True,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,556500,3.875,0.1543,9712.5,12060.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,586500,4.875,1.4816,13528.84,8160.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,216500,3.99,0.6805,4505.75,9480.0,True,False,False,0,0.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,206500,3.875,0.0215,67.0,4080.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,376500,4.0414088465706834,0.45024391421782806,3182.5626954175527,6715.669948835777,False,False,True,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,136500,4.5,1.0023,3192.0,3600.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,366500,4.125,0.3223,334.41,8520.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,136500,4.056727949069353,0.5060935691719255,3151.5217813747718,2640.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,476500,4.375,0.1278,0.0,7380.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,496500,4.125,0.3854,1870.75,11040.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,436500,4.039764357734164,0.4444016739893182,3185.817317660342,7140.0,False,True,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,666500,3.75,0.112,4007.03,8220.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,266500,3.99,1.2495,2352.19,4800.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,436500,4.375,0.5508,629.25,10620.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,276500,4.875,1.3199,3446.33,7320.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,246500,2.99,0.4764,7902.47,2940.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,846500,4.072608325374681,0.1940355114163621,3881.4209395932185,23700.0,True,False,False,0,0.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,326500,4.75,0.6353,0.0,6793.80065725561,False,False,True,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,646500,3.75,0.1346,1326.82,9180.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,176500,4.059442123682984,0.5159642724011428,3146.0344955690803,1920.0,False,True,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,396500,3.125,-0.2925,12772.5,2400.0,False,False,True,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,586500,3.75,0.1159,5984.85,13920.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,226500,3.99,0.439,1250.0,2220.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,436500,3.375,-0.0051,11867.76,5880.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,126500,4.5,1.0723,3803.0,1920.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,126500,4.058549740058137,0.4959844081062599,3182.330384216146,3300.0,False,True,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,346500,4.027324390755025,0.39916095085540526,3210.967377603093,10440.0,True,False,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,256500,4.056727949069353,0.5060935691719255,3151.5217813747718,2640.0,False,True,False,0,1.0,1,Poor
475,0.25,Poor,134264.04,1,1,1,600,106500,5.375,0.7716,1150.0,2220.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,436500,4.18,0.1918,5492.5,5160.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,76500,4.75,1.9546,1557.51,4260.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,246500,4.75,0.4945,4505.0,2220.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,386500,3.375,0.6171,12336.5,8520.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,226500,4.5,0.5354,5210.0,2820.0,True,False,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,46500,3.875,1.1986,1807.32,1320.0,False,True,False,0,1.0,0,Poor
475,0.25,Poor,134264.04,1,1,1,600,396500,3.625,0.161,6825.0,4080.0,True,False,False,0,1.0,0,Poor
